,RM,,PREMIS,NAMA,LOKASI,NEGERI
AYAM BERSIH - STANDARD,5.99,1 KG,HYPERMARKET,TESCO EXTRA,SELAYANG,KUALA LUMPUR
AYAM BERSIH - STANDARD,5.99,1 KG,PASAR RAYA / SUPERMARKET,SEGI FRESH,TAMAN SHAMELIN PERKASA CHERAS,KUALA LUMPUR
AYAM BERSIH - STANDARD,5.99,1 KG,HYPERMARKET,TESCO,BANDAR MANJALARA,KUALA LUMPUR
AYAM BERSIH - STANDARD,6.10,1 KG,PASAR RAYA / SUPERMARKET,CHECKERS HYPERMARKET,TMN SRI SENTOSA,KUALA LUMPUR
AYAM BERSIH - STANDARD,6.20,1 KG,HYPERMARKET,AEON BIG,MID VALLEY CITY,KUALA LUMPUR
AYAM BERSIH - STANDARD,6.20,1 KG,PASAR RAYA / SUPERMARKET,PASARAYA STAR GROCER,DESA PANDAN,KUALA LUMPUR
AYAM BERSIH - STANDARD,6.20,1 KG,HYPERMARKET,AEON BIG,BANDAR BARU SRI PETALING,KUALA LUMPUR
AYAM BERSIH - STANDARD,6.20,1 KG,PASAR RAYA / SUPERMARKET,PASARAYA STAR GROCER,BANDAR TUN RAZAK,KUALA LUMPUR
AYAM BERSIH - STANDARD,6.50,1 KG,PASAR BASAH,PASAR HARIAN SELAYANG,SELAYANG,KUALA LUMPUR
BAWANG BESAR IMPORT (INDIA),0.99,1 KG,PASAR RAYA / SUPERMARKET,MY MYDIN,SETAPAK,KUALA LUMPUR
BAWANG BESAR IMPORT (INDIA),1.50,1 KG,PASAR RAYA / SUPERMARKET,GIANT SUPERMARKET,KEPONG,KUALA LUMPUR
BAWANG BESAR IMPORT (INDIA),1.60,1 KG,PASAR RAYA / SUPERMARKET,CHECKERS CASH & CARRY,CHERAS,KUALA LUMPUR
BAWANG KECIL MERAH (THAILAND),7.00,1 KG,PASAR RAYA / SUPERMARKET,SHUANG-LIM CASH & CARRY,DANAU KOTA,KUALA LUMPUR
BAWANG KECIL MERAH (THAILAND),7.20,1 KG,PASAR RAYA / SUPERMARKET,AEON,MID VALLEY CITY,KUALA LUMPUR
BAWANG KECIL MERAH (THAILAND),8.90,1 KG,PASAR RAYA / SUPERMARKET,HERO MARKET FRESH & EASY,TAMAN TUN DR ISMAIL,KUALA LUMPUR
BAWANG KECIL MERAH ROSE IMPORT (INDIA),2.99,1 KG,PASAR RAYA / SUPERMARKET,COLD STORAGE,WANGSA MAJU,KUALA LUMPUR
BAWANG KECIL MERAH ROSE IMPORT (INDIA),3.90,1 KG,PASAR RAYA / SUPERMARKET,NSK,JALAN KUCHAI LAMA,KUALA LUMPUR
BAWANG KECIL MERAH ROSE IMPORT (INDIA),4.50,1 KG,PASAR RAYA / SUPERMARKET,SHUANG-LIM CASH & CARRY,DANAU KOTA,KUALA LUMPUR
BAWANG PUTIH IMPORT (CHINA),2.90,1 KG,HYPERMARKET,AEON BIG,WANGSA MAJU,KUALA LUMPUR
BAWANG PUTIH IMPORT (CHINA),2.90,1 KG,HYPERMARKET,AEON BIG,MID VALLEY CITY,KUALA LUMPUR
BAWANG PUTIH IMPORT (CHINA),2.90,1 KG,HYPERMARKET,AEON BIG,KEPONG,KUALA LUMPUR
BAYAM HIJAU (SEIKAT/BUNDLE),0.50,250 G,PASAR RAYA / SUPERMARKET,CHECKERS HYPERMARKET,TMN SRI SENTOSA,KUALA LUMPUR
BAYAM HIJAU (SEIKAT/BUNDLE),0.50,250 G,PASAR RAYA / SUPERMARKET,PASARAYA STAR GROCER,BANDAR TUN RAZAK,KUALA LUMPUR
BAYAM HIJAU (SEIKAT/BUNDLE),0.60,250 G,PASAR BASAH,PASAR HARIAN SELAYANG,SELAYANG,KUALA LUMPUR
BAYAM HIJAU (SEIKAT/BUNDLE),0.75,250 G,PASAR BASAH,PASAR BESAR TAMAN TUN DR ISMAIL,TAMAN TUN DR ISMAIL,KUALA LUMPUR
